,RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,FINAL_QUANTITY_NUMERIC,FINAL_SALE_NUMERIC,PURCHASE_DATE_CT,row_num,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND,ID,CREATED_DATE,BIRTH_DATE,STATE,LANGUAGE,GENDER,BIRTH_DATE_FIX,CREATED_DATE_CT
30,fc0de804-3bcb-4a47-ae7d-59e95a182ee9,2024-08-24,2024-08-25 18:00:34.169 Z,IGA,6430566d44f22b2ce43094cc,70200857278.0,1.00,5.99,1.0,5.99,2024-08-24 00:00:00.000000,1,Snacks,Dips & Salsa,Ranch Dip,,T. MARZETTI COMPANY,MARZETTI,6430566d44f22b2ce43094cc,2023-04-07 17:44:13.000000,1966-01-13 06:00:00.000 Z,KY,en,female,1966-01-13 06:00:00.000000,2023-04-07 17:44:13.000000
31,44266009-a305-413b-8c09-7ad2b170594d,2024-08-02,2024-08-04 07:31:32.516 Z,CVS,610a8541ca1fab5b417b5d33,70462006599.0,1.00,4.29,1.0,4.29,2024-08-02 00:00:00.000000,1,Snacks,Candy,Confection Candy,,MONDELĒZ INTERNATIONAL,SOUR PATCH KIDS,610a8541ca1fab5b417b5d33,2021-08-04 12:17:05.000000,1977-01-12 00:00:00.000 Z,NY,en,male,1977-01-12 00:00:00.000000,2021-08-04 12:17:05.000000
32,abe534ef-bfbd-46ce-982b-98420e9170f1,2024-06-15,2024-06-16 09:27:49.782 Z,JEWEL OSCO,65044dc5fe41d365c2ed7d71,70670000693.0,1.00,1.99,1.0,1.99,2024-06-15 00:00:00.000000,1,Snacks,Nuts & Seeds,Chestnuts,,WORLD FINER FOODS INC,REESE SPECIALTY FOODS,65044dc5fe41d365c2ed7d71,2023-09-15 12:27:49.000000,1964-12-26 00:00:00.000 Z,IL,en,female,1964-12-26 00:00:00.000000,2023-09-15 12:27:49.000000
33,2d7ebabc-02f1-4658-b4d0-8acbf44a7bb8,2024-09-04,2024-09-05 00:13:55.307 Z,SUPERIOR GROCERS,6344c5701aaccf0b216c3e22,71169294968.0,1.00,3.29,1.0,3.29,2024-09-04 00:00:00.000000,1,,,,,,,6344c5701aaccf0b216c3e22,2022-10-11 01:22:56.000000,1970-07-19 00:00:00.000 Z,CA,en,male,1970-07-19 00:00:00.000000,2022-10-11 01:22:56.000000
34,cb05a212-bc23-4a62-9ddd-14d68a2e3534,2024-09-08,2024-09-08 11:49:59.910 Z,CVS,5db603f8b68dbf3bc96f3c73,71249278581.0,1.00,0.97,1.0,0.97,2024-09-08 00:00:00.000000,1,Health & Wellness,Hair Care,Conditioner,,L'OREAL,L'OREAL PARIS HAIR CARE,5db603f8b68dbf3bc96f3c73,2019-10-27 20:54:17.000000,1969-09-30 04:00:00.000 Z,FL,en,female,1969-09-30 04:00:00.000000,2019-10-27 20:54:17.000000
35,235547f3-ca8f-4c66-9d76-26274459afc3,2024-06-27,2024-06-29 08:52:56.045 Z,SHOP RITE,63c4346239c79dcbdd57ced9,71403002038.0,1.00,2.99,1.0,2.99,2024-06-27 00:00:00.000000,1,,,,,,,63c4346239c79dcbdd57ced9,2023-01-15 17:14:10.000000,1972-07-05 04:00:00.000 Z,NJ,en,male,1972-07-05 04:00:00.000000,2023-01-15 17:14:10.000000
36,72e11459-34e3-43cc-9779-f3f971508b96,2024-06-21,2024-06-21 11:29:08.749 Z,WALMART,5f6518d1bf3f5a43fdd0c9a5,71730007164.0,1.00,5.98,1.0,5.98,2024-06-21 00:00:00.000000,1,,,,,,,5f6518d1bf3f5a43fdd0c9a5,2020-09-18 20:30:09.000000,1955-02-19 05:00:00.000 Z,CT,en,female,1955-02-19 05:00:00.000000,2020-09-18 20:30:09.000000
37,0dad6c7e-e50f-42bc-8deb-8ad12df3f7e6,2024-06-15,2024-06-17 08:35:26.367 Z,WALMART,5d191765c8b1ba28e74e8463,71990300784.0,1.00,17.48,1.0,17.48,2024-06-15 00:00:00.000000,1,Alcohol,Beer,Lager,American Lager,MOLSONCOORS,COORS LIGHT,5d191765c8b1ba28e74e8463,2019-06-30 20:11:18.000000,1964-09-11 05:00:00.000 Z,TX,en,female,1964-09-11 05:00:00.000000,2019-06-30 20:11:18.000000
38,02c675f0-3d0c-49ae-aa18-9422bb9b1cda,2024-06-28,2024-06-28 09:59:19.953 Z,PUBLIX,647281efa55bb77a0e26f586,72030000350.0,1.00,6.29,1.0,6.29,2024-06-28 00:00:00.000000,1,Snacks,Snack Cakes,Cakes & Truffles Snack Cakes,,BIMBO,ENTENMANN'S SWEET BAKED GOODS,647281efa55bb77a0e26f586,2023-05-27 22:19:27.000000,1960-06-13 00:00:00.000 Z,FL,en,male,1960-06-13 00:00:00.000000,2023-05-27 22:19:27.000000
39,fbe22b2e-8d69-4513-b97a-147cbace12cf,2024-06-30,2024-07-10 23:08:53.890 Z,WALMART,6351760a3a4a3534d9393ecd,72220110814.0,1.00,3.88,1.0,3.88,2024-06-30 00:00:00.000000,1,,,,,,,6351760a3a4a3534d9393ecd,2022-10-20 16:23:38.000000,1984-12-25 00:00:00.000 Z,FL,en,female,1984-12-25 00:00:00.000000,2022-10-20 16:23:38.000000
